i  j  rcb      Mcb      Etotcb 
 7  34  12.289  10.001  -1353386808108126372335205921740292096.000 
 7  35  12.356  10.001  -1323824902798527007416684944478437376.000 
 7  36  12.423  10.001  -1293187387015704253358905546703372288.000 
 7  37  12.491  10.001  -1261441490886200440976222121285910528.000 
 7  38  12.558  10.001  -1228565665392872061118176774020136960.000 
 7  39  12.625  10.001  -1194524503912160117698134774699261952.000 
 7  40  12.693  10.001  -1159297944636846740741526914097741824.000 
 7  41  12.761  10.001  -1122847848382615996912531405220610048.000 
 7  42  12.828  10.001  -1085156337994904908115405937041211392.000 
 7  43  12.896  10.001  -1046181781973917265011571025512497152.000 
 7  44  12.963  10.001  -1005909455818534865460569636792696832.000 
 7  45  13.031  10.001  -964293687336045014963273665513259008.000 
 7  46  13.098  10.001  -921323227383018420988265555472416768.000 
 7  47  13.166  10.001  -876948965113911420054735847245742080.000 
 7  48  13.233  10.001  -831161856662741193265541829468618752.000 
 7  49  13.300  10.001  -783912031434725176760346136662769664.000 
 8  0  11.533  10.001  -2657028957091091328348747405446873088.000 
 8  1  11.628  10.001  -2652038012162462358486045797547769856.000 
 8  2  11.724  10.001  -2646545052957014074298387111379730432.000 
 8  3  11.821  10.001  -2640498016282976958569246789870813184.000 
 8  4  11.919  10.001  -2633867810662980648717627474998984704.000 
 8  5  12.018  10.001  -2626632094889469001566322534421364736.000 
 8  6  12.119  10.001  -2618764440792400268659710881081327616.000 
 8  7  12.220  10.001  -2610235833575263681536020610373648384.000 
 8  8  12.324  10.001  -2601001874677551168918292702141874176.000 
 8  9  12.428  10.001  -2591012920629450480812910064187736064.000 
 8  10  12.533  10.001  -2580237023516740901984127390333272064.000 
 8  11  12.640  10.001  -2568637428830272089646210304572391424.000 
 8  12  12.747  10.001  -2556174702114490956789685165639073792.000 
 8  13  12.857  10.001  -2542806464401439574602039166840602624.000 
 8  14  12.967  10.001  -2528473595831224859373526697665101824.000 
 8  15  13.079  10.001  -2513122378316513852292833507293528064.000 
 8  16  13.192  10.001  -2496704037333254188934050685153968128.000 
 8  17  13.307  10.001  -2479166469307272561439507546896334848.000 
 8  18  13.423  10.001  -2460454267084253861518769603561390080.000 
 8  19  13.540  10.001  -2440508471509146465581474684359147520.000 
 8  20  13.659  10.001  -2419262978512954590264262572197806080.000 
 8  21  13.779  10.001  -2396642357562359420059711309831208960.000 
 8  22  13.901  10.001  -2372578172139739171631966636480659456.000 
 8  23  14.024  10.001  -2346998861400984433906279695423373312.000 
 8  24  14.148  10.002  -2319828638135256373612819434558193664.000 
 8  25  14.274  10.002  -2290987536075624568089755716677533696.000 
 8  26  14.402  10.002  -2260391183978007357826360657676599296.000 
 8  27  14.531  10.002  -2227948693113134466910534370999664640.000 
 8  28  14.662  10.002  -2193560117662116062070693556301856768.000 
 8  29  14.795  10.002  -2157127864572905040286920253701619712.000 
 8  30  14.929  10.002  -2118549708377061619571945028991320064.000 
 8  31  15.065  10.002  -2077718041602173471927764683092656128.000 
 8  32  15.202  10.002  -2034519835639727383538942271681462272.000 
 8  33  15.341  10.002  -1988835900761631596940779311295627264.000 
 8  34  15.482  10.002  -1940541138058970604145313547231952896.000 
 8  35  15.624  10.002  -1889502976068921144946996845813432320.000 
 8  36  15.769  10.002  -1835573677890948663803798845510385664.000 
 8  37  15.915  10.002  -1778614193899440853060041700697702400.000 
 8  38  16.063  10.002  -1718473219259369231669934897785470976.000 
 8  39  16.213  10.002  -1654991730442811266222355458457337856.000 
 8  40  16.364  10.002  -1588002755289704641073894079869222912.000 
 8  41  16.518  10.002  -1517330976326419352659870900276953088.000 
 8  42  16.673  10.002  -1442792371956454027527083270290276352.000 
 8  43  16.830  10.002  -1364193781120004130023865552795074560.000 
 8  44  16.990  10.002  -1281332532411870517887173752239685632.000 
 8  45  17.151  10.002  -1193995971777362775394857719858987008.000 
 8  46  17.314  10.002  -1101956227651343245411932995061809152.000 
 8  47  17.480  10.003  -1004956988884927160900014691443539968.000 
 8  48  17.647  10.003  -902776427787054720447447980648169472.000 
 8  49  17.817  10.003  -795157514304580143444669066052108288.000 
 9  0  13.058  10.001  -3686049137299514577869467223479812096.000 
 9  1  13.197  10.001  -3684481050508931643204156970682548224.000 
 9  2  13.339  10.001  -3682279338092911415143211048026243072.000 
 9  3  13.483  10.001  -3679395266360747046830140887201218560.000 
 9  4  13.631  10.002  -3675776487382059051026943016005795840.000 
 9  5  13.780  10.002  -3671366592358724660941747951409037312.000 
 9  6  13.933  10.002  -3666104981960475334411501678855454720.000 
 9  7  14.088  10.002  -3659926299370115884176000921376915456.000 
 9  8  14.246  10.002  -3652760005574919970671566171790114816.000 
 9  9  14.408  10.002  -3644528387782819261743194400337428480.000 
 9  10  14.572  10.002  -3635163797600227956305660874372153344.000 
 9  11  14.740  10.002  -3624580375969117977426993107989168128.000 
 9  12  14.911  10.002  -3612685102015624374066230339963977728.000 
 9  13  15.085  10.002  -3599377245711156671194807854524530688.000 
 9  14  15.263  10.002  -3584547927856764049273011431737917440.000 
 9  15  15.444  10.002  -3568079195668601602481523292578512896.000 
 9  16  15.629  10.002  -3549843486350503905229545693304061952.000 
 9  17  15.818  10.002  -3529716852173100661782414153243164672.000 
 9  18  16.010  10.002  -3507566065597510648206239278322155520.000 
 9  19  16.207  10.002  -3483232470558153863267931182988263424.000 
 9  20  16.408  10.002  -3456543936916932824854414597310906368.000 
 9  21  16.612  10.002  -3427314531669411854061775509851734016.000 
 9  22  16.822  10.002  -3395355927599696823072643045518213120.000 
 9  23  17.035  10.002  -3360476129577929842695160689466540032.000 
 9  24  17.254  10.002  -3322442488339900134581379240472608768.000 
 9  25  17.477  10.003  -3281001963721419549624450497405517824.000 
 9  26  17.705  10.003  -3235889588538184903033157925203869696.000 
 9  27  17.938  10.003  -3186841702623515628685184771047817216.000 
 9  28  18.177  10.003  -3133543356287333250581151071661457408.000 
 9  29  18.420  10.003  -3075651832562987300331217064514551808.000 
 9  30  18.670  10.003  -3012808949704402304131499034538934272.000 
 9  31  18.925  10.003  -2944639543742436226146357919388532736.000 
 9  32  19.186  10.003  -2870713184397336865150126705759748096.000 
